Symbol,Date,open,high,low,close,volume
^VN30,20210426,1301.39,1305.73,1269.78,1275.04,216946500
^VN30,20210423,1271.53,1301.39,1262.89,1301.39,245629900
^VN30,20210422,1312.6801,1317.5,1271.53,1271.53,232535000
^VN30,20210420,1306.22,1331.5601,1303.6801,1312.6801,244920500
^VN30,20210419,1276.87,1306.22,1271.52,1306.22,210596900
^VN30,20210416,1284.2,1291.37,1262.52,1276.87,247667200
^VN30,20210415,1290.77,1300.84,1283.98,1284.2,236678100
^VN30,20210414,1277.35,1290.77,1263.89,1290.77,207521100
^VN30,20210413,1278.1899,1298.78,1276.74,1277.35,255773400
^VN30,20210412,1253.26,1279.52,1253.26,1278.1899,267960600
^VN30,20210409,1251.8101,1256.0601,1245.26,1253.26,173791500
^VN30,20210408,1257.77,1263.03,1249.45,1251.8101,161341700
^VN30,20210407,1255.36,1257.77,1248.15,1257.77,213314200
^VN30,20210406,1249.9,1260.35,1245.16,1255.36,222982600
^VN30,20210405,1238.03,1256.12,1238.03,1249.9,219162300
^VN30,20210402,1226.16,1243.67,1226.16,1238.03,199249300
^VN30,20210401,1196.24,1227.5601,1196.24,1226.16,222239500
^VN30,20210331,1190.86,1203.1801,1189.47,1196.24,171904000
^VN30,20210330,1180.0699,1192.9,1175.9,1190.86,217511900
^VN30,20210329,1167.1899,1182.0601,1167.1899,1180.0699,145667400
^VN30,20210326,1164.64,1170.75,1143.08,1167.1899,172710300
^VN30,20210325,1165.61,1175.86,1159.25,1164.64,165895200
^VN30,20210324,1186.98,1186.98,1157.6899,1165.61,190246400
^VN30,20210323,1198.54,1198.54,1182.22,1186.98,155689000
^VN30,20210322,1203.36,1207.28,1194.79,1198.54,161297800
^VN30,20210319,1211.54,1211.54,1201.17,1203.36,171417400
^VN30,20210318,1193.71,1211.54,1193.45,1211.54,155167300
^VN30,20210317,1187.84,1193.45,1183.83,1193.45,193596700
^VN30,20210316,1190.86,1192.15,1177.05,1187.84,163858900
^VN30,20210315,1187.8101,1194.29,1184.3199,1190.86,149674500
^VN30,20210312,1192.42,1193.71,1184.64,1187.8101,147251900
^VN30,20210311,1180.65,1190.34,1180.65,1188.71,167311800
^VN30,20210310,1163,1173.58,1154.29,1172.26,156010800
^VN30,20210309,1166.4,1168.58,1150.1801,1163,159976000
^VN30,20210308,1179.1801,1186.29,1165.14,1170,164933700
^VN30,20210305,1174.23,1174.8,1157.45,1173.83,205207500
^VN30,20210304,1199.9301,1200.3,1164.76,1174.29,183128200
^VN30,20210303,1194.78,1198.23,1189.17,1195.6,154440900
^VN30,20210302,1191.83,1203.84,1188.01,1194.71,169421200
^VN30,20210301,1173.72,1192.8199,1173.72,1191.83,191028700
^VN30,20210226,1166.49,1175.0601,1153.53,1173.6,178992100
^VN30,20210225,1168.22,1174.78,1158.2,1169.8199,158378900
^VN30,20210224,1182.76,1191.98,1161.13,1167.1801,178724400
^VN30,20210223,1180.38,1191.4301,1175.27,1182.47,195049200
^VN30,20210222,1179.42,1190.3101,1172.71,1180.55,175256400
^VN30,20210219,1172.1899,1188.34,1168.48,1180.59,166179400
^VN30,20210218,1174.4,1187.9399,1162.67,1187.9399,183246200
^VN30,20210217,1142.77,1174.91,1142.77,1174.91,174115900
^VN30,20210209,1100.41,1129.49,1089.9301,1129.49,173192200
^VN30,20210208,1135.59,1136.38,1078.2,1092.59,228472200
^VN30,20210205,1117.92,1135.5,1117.92,1135.5,139783900
^VN30,20210204,1117.58,1126.24,1104.1899,1117.74,155634900
^VN30,20210203,1079.7,1122.04,1079.7,1117.98,204897000
^VN30,20210202,1030.52,1079.83,1025.1801,1079.7,162837100
^VN30,20210201,1052.4301,1068.79,1029.4399,1029.86,175342500
^VN30,20210129,996.41,1068.9301,983.86,1048.3101,242653600
^VN30,20210128,1058.74,1058.74,1008.53,1010.75,282129400
^VN30,20210127,1116.47,1125.17,1074.1801,1083.63,241013700
^VN30,20210126,1154.66,1154.66,1107.54,1125.09,236714100
^VN30,20210125,1156.37,1164.04,1149.45,1154.29,198478400
^VN30,20210122,1152.4301,1164.45,1148.02,1156.58,210394400
^VN30,20210121,1121.52,1152.9,1114.26,1151.3,204600400
^VN30,20210120,1111.78,1121.97,1073.13,1116.21,262600200
